week_ending,roi,name,dept,altitude,no2_weekly_mean,n_valid_days,log_no2
2019-09-22,cobija,Cobija,Pando,lowland,1.8609007709576312e-05,4.0,-10.891864809012384
2019-09-29,cobija,Cobija,Pando,lowland,2.3039620282638205e-05,6.0,-10.678295203060665
2019-10-06,cobija,Cobija,Pando,lowland,,2.0,
2019-10-13,cobija,Cobija,Pando,lowland,1.5925066585169775e-05,5.0,-11.047616175342432
2019-10-20,cobija,Cobija,Pando,lowland,,2.0,
2019-10-27,cobija,Cobija,Pando,lowland,,1.0,
2019-11-03,cobija,Cobija,Pando,lowland,1.2833290571825826e-05,4.0,-11.263467937409716
2019-11-10,cobija,Cobija,Pando,lowland,5.401582322450654e-06,3.0,-12.128818624640758
2019-11-17,cobija,Cobija,Pando,lowland,5.0949761907959346e-06,3.0,-12.187255564353315
2019-11-24,cobija,Cobija,Pando,lowland,6.6497746283759074e-06,4.0,-11.920927594340595
2019-12-01,cobija,Cobija,Pando,lowland,8.438040152035447e-06,4.0,-11.682760485795676
2019-12-08,cobija,Cobija,Pando,lowland,7.4835300713978056e-06,4.0,-11.802805942625183
2019-12-15,cobija,Cobija,Pando,lowland,,1.0,
2019-12-22,cobija,Cobija,Pando,lowland,7.181531651506221e-06,5.0,-11.84399787571723
2019-12-29,cobija,Cobija,Pando,lowland,7.054486836000939e-06,3.0,-11.861846712937758
2020-01-05,cobija,Cobija,Pando,lowland,,1.0,
2020-01-12,cobija,Cobija,Pando,lowland,6.8743910729340525e-06,3.0,-11.887707489543892
2020-01-19,cobija,Cobija,Pando,lowland,9.80901674905051e-06,3.0,-11.532208518864897
2020-01-26,cobija,Cobija,Pando,lowland,7.662541251920714e-06,6.0,-11.77916687310525
2020-02-02,cobija,Cobija,Pando,lowland,1.209223836744993e-05,3.0,-11.322946768418836
2020-02-09,cobija,Cobija,Pando,lowland,6.873788349602717e-06,4.0,-11.88779517000153
2020-02-16,cobija,Cobija,Pando,lowland,5.930816516689493e-06,3.0,-12.035348661905648
2020-02-23,cobija,Cobija,Pando,lowland,7.717713032593732e-06,3.0,-11.771992477116449
2020-03-01,cobija,Cobija,Pando,lowland,6.133412911485813e-06,4.0,-12.001759207402841
2020-03-08,cobija,Cobija,Pando,lowland,8.15449132119926e-06,4.0,-11.716941700145883
2020-03-15,cobija,Cobija,Pando,lowland,,2.0,
2020-03-22,cobija,Cobija,Pando,lowland,,0.0,
2020-03-29,cobija,Cobija,Pando,lowland,8.28913561679113e-06,3.0,-11.700564862432973
2020-04-05,cobija,Cobija,Pando,lowland,,2.0,
2020-04-12,cobija,Cobija,Pando,lowland,4.508662657468693e-06,4.0,-12.309509976700342
2020-04-19,cobija,Cobija,Pando,lowland,,2.0,
2020-04-26,cobija,Cobija,Pando,lowland,,2.0,
2020-05-03,cobija,Cobija,Pando,lowland,3.933063595813575e-06,3.0,-12.446091894847829
2020-05-10,cobija,Cobija,Pando,lowland,4.614662028996077e-06,4.0,-12.28627192584475
2020-05-17,cobija,Cobija,Pando,lowland,4.34866126548962e-06,3.0,-12.345642515289846
2020-05-24,cobija,Cobija,Pando,lowland,6.291641931168743e-06,4.0,-11.976288482974892
2020-05-31,cobija,Cobija,Pando,lowland,5.0922019876748445e-06,6.0,-12.18780021040565
2020-06-07,cobija,Cobija,Pando,lowland,,2.0,
2020-06-14,cobija,Cobija,Pando,lowland,9.56441974073243e-07,5.0,-13.86004571475392
2020-06-21,cobija,Cobija,Pando,lowland,5.783977082848063e-06,6.0,-12.060419035278859
2020-06-28,cobija,Cobija,Pando,lowland,5.9913540689323696e-06,4.0,-12.025193116469895
2020-07-05,cobija,Cobija,Pando,lowland,,2.0,
2020-07-12,cobija,Cobija,Pando,lowland,8.448745512789203e-06,5.0,-11.681492587641419
2020-07-19,cobija,Cobija,Pando,lowland,1.0041045320092445e-05,3.0,-11.508829333573281
2020-07-26,cobija,Cobija,Pando,lowland,9.470071060435118e-06,5.0,-11.567374147052611
2020-08-02,cobija,Cobija,Pando,lowland,7.272852367387674e-06,6.0,-11.831361995720885
2020-08-09,cobija,Cobija,Pando,lowland,1.9383804969429205e-05,5.0,-10.85107263592095
2020-08-16,cobija,Cobija,Pando,lowland,1.5728775012163775e-05,4.0,-11.060018719822073
2020-08-23,cobija,Cobija,Pando,lowland,1.2462179228595776e-05,3.0,-11.292812161936695
2020-08-30,cobija,Cobija,Pando,lowland,2.1057303506155784e-05,7.0,-10.768263098100167
2020-09-06,cobija,Cobija,Pando,lowland,,1.0,
2020-09-13,cobija,Cobija,Pando,lowland,,2.0,
2020-09-20,cobija,Cobija,Pando,lowland,,1.0,
2020-09-27,cobija,Cobija,Pando,lowland,2.629812002419401e-05,4.0,-10.546013103305322
2020-10-04,cobija,Cobija,Pando,lowland,1.3437187227636313e-05,5.0,-11.217484528430164
2020-10-11,cobija,Cobija,Pando,lowland,1.2614869549013643e-05,6.0,-11.28063431686696
2020-10-18,cobija,Cobija,Pando,lowland,,2.0,
2020-10-25,cobija,Cobija,Pando,lowland,,2.0,
2020-11-01,cobija,Cobija,Pando,lowland,,2.0,
2020-11-08,cobija,Cobija,Pando,lowland,,2.0,
2020-11-15,cobija,Cobija,Pando,lowland,9.931576265082052e-06,3.0,-11.519791354832776
2020-11-22,cobija,Cobija,Pando,lowland,9.35795098743345e-06,4.0,-11.579284203038405
2020-11-29,cobija,Cobija,Pando,lowland,,1.0,
2020-12-06,cobija,Cobija,Pando,lowland,,2.0,
2020-12-13,cobija,Cobija,Pando,lowland,4.611938432591144e-06,3.0,-12.286862305041375
2020-12-20,cobija,Cobija,Pando,lowland,7.72592544932359e-06,5.0,-11.770928943090635
2020-12-27,cobija,Cobija,Pando,lowland,2.403187239731115e-06,4.0,-12.938714685089796
2021-01-03,cobija,Cobija,Pando,lowland,8.347043807247463e-06,3.0,-11.693603116846901
2021-01-10,cobija,Cobija,Pando,lowland,6.933787753577447e-06,4.0,-11.879104320691491
2021-01-17,cobija,Cobija,Pando,lowland,7.860332723903189e-06,5.0,-11.75368162113371
2021-01-24,cobija,Cobija,Pando,lowland,,2.0,
2021-01-31,cobija,Cobija,Pando,lowland,6.180023040075597e-06,3.0,-11.994188558334052
2021-02-07,cobija,Cobija,Pando,lowland,5.4653733954345215e-06,3.0,-12.117078113796156
2021-02-14,cobija,Cobija,Pando,lowland,,0.0,
2021-02-21,cobija,Cobija,Pando,lowland,,1.0,
2021-02-28,cobija,Cobija,Pando,lowland,8.166434903684108e-06,3.0,-11.715478108625119
2021-03-07,cobija,Cobija,Pando,lowland,8.979824069458681e-06,3.0,-11.620530267216392
2021-03-14,cobija,Cobija,Pando,lowland,6.058201205370823e-06,3.0,-12.014097632742926
2021-03-21,cobija,Cobija,Pando,lowland,5.301868302728482e-06,3.0,-12.147451289574462
2021-03-28,cobija,Cobija,Pando,lowland,6.047980025206582e-06,4.0,-12.015786221803047
2021-04-04,cobija,Cobija,Pando,lowland,6.367255427286431e-06,3.0,-11.964342040365379
2021-04-11,cobija,Cobija,Pando,lowland,,2.0,
2021-04-18,cobija,Cobija,Pando,lowland,,2.0,
2021-04-25,cobija,Cobija,Pando,lowland,6.343475341726147e-06,4.0,-11.96808377854504
2021-05-02,cobija,Cobija,Pando,lowland,7.263370350437191e-06,3.0,-11.832666601254166
2021-05-09,cobija,Cobija,Pando,lowland,9.618706963476167e-06,3.0,-11.551800713601729
2021-05-16,cobija,Cobija,Pando,lowland,,0.0,
2021-05-23,cobija,Cobija,Pando,lowland,,2.0,
2021-05-30,cobija,Cobija,Pando,lowland,1.0082362591446218e-05,4.0,-11.50472293871266
2021-06-06,cobija,Cobija,Pando,lowland,,2.0,
2021-06-13,cobija,Cobija,Pando,lowland,1.1647157498071351e-05,4.0,-11.360448399305211
2021-06-20,cobija,Cobija,Pando,lowland,,2.0,
2021-06-27,cobija,Cobija,Pando,lowland,7.692349416985155e-06,6.0,-11.77528430524436
2021-07-04,cobija,Cobija,Pando,lowland,8.423487144076926e-06,5.0,-11.684486665318632
2021-07-11,cobija,Cobija,Pando,lowland,1.583056595026447e-05,7.0,-11.053567932956517
2021-07-18,cobija,Cobija,Pando,lowland,1.2604866238374694e-05,5.0,-11.281427609171677
2021-07-25,cobija,Cobija,Pando,lowland,1.5159987963519166e-05,7.0,-11.09685097171348
2021-08-01,cobija,Cobija,Pando,lowland,8.780475718216873e-06,6.0,-11.642979969755785
2021-08-08,cobija,Cobija,Pando,lowland,2.4941026894910873e-05,7.0,-10.598996443944523
2021-08-15,cobija,Cobija,Pando,lowland,2.3531004088533456e-05,6.0,-10.657191683439603
2021-08-22,cobija,Cobija,Pando,lowland,2.1192063186773555e-05,3.0,-10.761883824365619
2021-08-29,cobija,Cobija,Pando,lowland,1.761230887558166e-05,3.0,-10.94691253243318
2021-09-05,cobija,Cobija,Pando,lowland,,2.0,
2021-09-12,cobija,Cobija,Pando,lowland,1.5461264148526162e-05,5.0,-11.077172749161731
2021-09-19,cobija,Cobija,Pando,lowland,2.7011934152566508e-05,5.0,-10.519231783965056
2021-09-26,cobija,Cobija,Pando,lowland,,2.0,
2021-10-03,cobija,Cobija,Pando,lowland,1.7267798105424345e-05,6.0,-10.96666717217259
2021-10-10,cobija,Cobija,Pando,lowland,4.752382187400111e-06,4.0,-12.256864552496541
2021-10-17,cobija,Cobija,Pando,lowland,,2.0,
2021-10-24,cobija,Cobija,Pando,lowland,1.9402366937907713e-05,3.0,-10.850115492228609
2021-10-31,cobija,Cobija,Pando,lowland,1.2925001642912783e-05,3.0,-11.25634701045855
2021-11-07,cobija,Cobija,Pando,lowland,7.041581956887851e-06,3.0,-11.863677703252579
2021-11-14,cobija,Cobija,Pando,lowland,7.567186858801181e-06,3.0,-11.791689176648866
2021-11-21,cobija,Cobija,Pando,lowland,9.344246892930227e-06,3.0,-11.580749709610798
2021-11-28,cobija,Cobija,Pando,lowland,9.811328658767642e-06,5.0,-11.531972854336084
2021-12-05,cobija,Cobija,Pando,lowland,6.809066078248878e-06,4.0,-11.897255586965244
2021-12-12,cobija,Cobija,Pando,lowland,9.744933402925642e-06,4.0,-11.538763059001868
2021-12-19,cobija,Cobija,Pando,lowland,,1.0,
2021-12-26,cobija,Cobija,Pando,lowland,2.5842829180211577e-06,4.0,-12.866062489639056
2022-01-02,cobija,Cobija,Pando,lowland,6.7142174931544605e-06,5.0,-11.911283265955165
2022-01-09,cobija,Cobija,Pando,lowland,9.093839542164808e-06,3.0,-11.607913347079906
2022-01-16,cobija,Cobija,Pando,lowland,1.2180907382600708e-05,3.0,-11.315640800706873
2022-01-23,cobija,Cobija,Pando,lowland,4.753865875523917e-06,5.0,-12.256552402397778
2022-01-30,cobija,Cobija,Pando,lowland,1.233128566809808e-05,3.0,-11.30337097468312
2022-02-06,cobija,Cobija,Pando,lowland,5.635952555260306e-06,3.0,-12.086344382121487
2022-02-13,cobija,Cobija,Pando,lowland,4.80018776914857e-06,3.0,-12.246855522242921
2022-02-20,cobija,Cobija,Pando,lowland,,1.0,
2022-02-27,cobija,Cobija,Pando,lowland,6.957197566176004e-06,5.0,-11.875733813240565
2022-03-06,cobija,Cobija,Pando,lowland,,2.0,
2022-03-13,cobija,Cobija,Pando,lowland,5.860387525912907e-06,3.0,-12.04729482586003
2022-03-20,cobija,Cobija,Pando,lowland,8.336873588077597e-06,3.0,-11.694822281409827
2022-03-27,cobija,Cobija,Pando,lowland,,1.0,
2022-04-03,cobija,Cobija,Pando,lowland,,0.0,
2022-04-10,cobija,Cobija,Pando,lowland,3.4983416816012514e-06,3.0,-12.563221507006869
2022-04-17,cobija,Cobija,Pando,lowland,4.421067744388918e-06,4.0,-12.32912931991956
2022-04-24,cobija,Cobija,Pando,lowland,8.078673157720597e-06,4.0,-11.726282912069118
2022-05-01,cobija,Cobija,Pando,lowland,2.544190735776625e-06,4.0,-12.881697940541903
2022-05-08,cobija,Cobija,Pando,lowland,1.0520379860446484e-05,4.0,-11.462196242899143
2022-05-15,cobija,Cobija,Pando,lowland,,2.0,
2022-05-22,cobija,Cobija,Pando,lowland,8.302165904180235e-06,5.0,-11.698994124892982
2022-05-29,cobija,Cobija,Pando,lowland,,2.0,
2022-06-05,cobija,Cobija,Pando,lowland,,1.0,
2022-06-12,cobija,Cobija,Pando,lowland,7.2087007240163916e-06,4.0,-11.840221827619636
2022-06-19,cobija,Cobija,Pando,lowland,9.560502500467316e-06,5.0,-11.557870269471952
2022-06-26,cobija,Cobija,Pando,lowland,8.013385811144052e-06,6.0,-11.734397188175167
2022-07-03,cobija,Cobija,Pando,lowland,9.035317501671224e-06,7.0,-11.614369493234676
2022-07-10,cobija,Cobija,Pando,lowland,6.2264144488832005e-06,7.0,-11.986709920720088
2022-07-17,cobija,Cobija,Pando,lowland,7.342539889379783e-06,5.0,-11.821825741218351
2022-07-24,cobija,Cobija,Pando,lowland,3.3645043041980394e-06,7.0,-12.602229915020882
2022-07-31,cobija,Cobija,Pando,lowland,1.0026799719291664e-05,5.0,-11.510249077762625
2022-08-07,cobija,Cobija,Pando,lowland,,1.0,
2022-08-14,cobija,Cobija,Pando,lowland,2.5188149317112823e-05,4.0,-10.589136939250187
2022-08-21,cobija,Cobija,Pando,lowland,1.2368679674732194e-05,4.0,-11.300343113333199
2022-08-28,cobija,Cobija,Pando,lowland,3.45724116739416e-05,4.0,-10.27245454441767
2022-09-04,cobija,Cobija,Pando,lowland,2.932652179424734e-05,5.0,-10.437018270679205
2022-09-11,cobija,Cobija,Pando,lowland,2.5626328420309233e-05,3.0,-10.571890281056834
2022-09-18,cobija,Cobija,Pando,lowland,2.134517999319485e-05,3.0,-10.754684605220456
2022-09-25,cobija,Cobija,Pando,lowland,2.6990086882597177e-05,4.0,-10.520040911873325
2022-10-02,cobija,Cobija,Pando,lowland,1.953167931019389e-05,5.0,-10.843472830587244
2022-10-09,cobija,Cobija,Pando,lowland,2.8217995882732644e-05,6.0,-10.475550631682573
2022-10-16,cobija,Cobija,Pando,lowland,,2.0,
2022-10-23,cobija,Cobija,Pando,lowland,1.725178801097545e-05,5.0,-10.967594767048316
2022-10-30,cobija,Cobija,Pando,lowland,,2.0,
2022-11-06,cobija,Cobija,Pando,lowland,1.3394748602909667e-05,5.0,-11.220647823123691
2022-11-13,cobija,Cobija,Pando,lowland,1.348318479124023e-05,4.0,-11.214067219907463
2022-11-20,cobija,Cobija,Pando,lowland,6.0324455984820546e-06,4.0,-12.018358057559656
2022-11-27,cobija,Cobija,Pando,lowland,1.1569576923742902e-05,3.0,-11.367131584087343
2022-12-04,cobija,Cobija,Pando,lowland,1.2144653411865363e-05,4.0,-11.318621533433573
2022-12-11,cobija,Cobija,Pando,lowland,1.2233158910856309e-05,4.0,-11.311360349641655
2022-12-18,cobija,Cobija,Pando,lowland,,2.0,
2022-12-25,cobija,Cobija,Pando,lowland,7.122971965237136e-06,4.0,-11.852185508784151
2023-01-01,cobija,Cobija,Pando,lowland,,1.0,
2023-01-08,cobija,Cobija,Pando,lowland,7.982451368415503e-06,3.0,-11.738265004650946
2023-01-15,cobija,Cobija,Pando,lowland,9.396726493525367e-06,3.0,-11.575149174709457
2023-01-22,cobija,Cobija,Pando,lowland,1.2548377500481965e-05,4.0,-11.285919183574348
2023-01-29,cobija,Cobija,Pando,lowland,1.1324870479468843e-05,3.0,-11.38850932335207
2023-02-05,cobija,Cobija,Pando,lowland,,2.0,
2023-02-12,cobija,Cobija,Pando,lowland,6.8993969886384876e-06,3.0,-11.884076543130991
2023-02-19,cobija,Cobija,Pando,lowland,6.624347148634697e-06,3.0,-11.924758734550037
2023-02-26,cobija,Cobija,Pando,lowland,5.944112591423996e-06,3.0,-12.033109308698606
2023-03-05,cobija,Cobija,Pando,lowland,8.734947847622633e-06,4.0,-11.648178584902931
2023-03-12,cobija,Cobija,Pando,lowland,,2.0,
2023-03-19,cobija,Cobija,Pando,lowland,6.246552381437455e-06,4.0,-11.983480865383688
2023-03-26,cobija,Cobija,Pando,lowland,,2.0,
2023-04-02,cobija,Cobija,Pando,lowland,1.1442014170406886e-05,5.0,-11.378218523663287
2023-04-09,cobija,Cobija,Pando,lowland,6.394111051903907e-06,3.0,-11.960133139334829
2023-04-16,cobija,Cobija,Pando,lowland,3.89269170902158e-06,3.0,-12.456409683578446
2023-04-23,cobija,Cobija,Pando,lowland,,1.0,
2023-04-30,cobija,Cobija,Pando,lowland,7.573916733318404e-06,3.0,-11.790800222297625
2023-05-07,cobija,Cobija,Pando,lowland,,1.0,
2023-05-14,cobija,Cobija,Pando,lowland,,2.0,
2023-05-21,cobija,Cobija,Pando,lowland,1.0912632081063202e-05,3.0,-11.425589533223398
2023-05-28,cobija,Cobija,Pando,lowland,,2.0,
2023-06-04,cobija,Cobija,Pando,lowland,,1.0,
2023-06-11,cobija,Cobija,Pando,lowland,1.3821980036869631e-05,5.0,-11.189250476597255
2023-06-18,cobija,Cobija,Pando,lowland,8.36018298831413e-06,5.0,-11.692030242552892
2023-06-25,cobija,Cobija,Pando,lowland,1.0024996201480438e-05,5.0,-11.510428963676407
2023-07-02,cobija,Cobija,Pando,lowland,9.591104572058739e-06,6.0,-11.554674496133416
2023-07-09,cobija,Cobija,Pando,lowland,8.610511985655693e-06,7.0,-11.662526777221043
2023-07-16,cobija,Cobija,Pando,lowland,7.635842665073318e-06,6.0,-11.782657256677462
2023-07-23,cobija,Cobija,Pando,lowland,1.401531748892723e-05,6.0,-11.17535972009521
2023-07-30,cobija,Cobija,Pando,lowland,1.3244309113396476e-05,6.0,-11.2319425986697
2023-08-06,cobija,Cobija,Pando,lowland,1.5373275324550766e-05,5.0,-11.082879924576625
2023-08-13,cobija,Cobija,Pando,lowland,1.1490822609193243e-05,4.0,-11.373961875176898
2023-08-20,cobija,Cobija,Pando,lowland,2.06384008972237e-05,6.0,-10.78835709626203
2023-08-27,cobija,Cobija,Pando,lowland,7.602042511075305e-06,5.0,-11.787093595321915
2023-09-03,cobija,Cobija,Pando,lowland,1.837047620954114e-05,6.0,-10.904765735853799
2023-09-10,cobija,Cobija,Pando,lowland,2.4456726866091426e-05,5.0,-10.618605252436506
2023-09-17,cobija,Cobija,Pando,lowland,2.6932394573022956e-05,3.0,-10.522180736674802
2023-09-24,cobija,Cobija,Pando,lowland,2.7200680603193057e-05,5.0,-10.512268562799157
2023-10-01,cobija,Cobija,Pando,lowland,,2.0,
2023-10-08,cobija,Cobija,Pando,lowland,2.087636976684383e-05,3.0,-10.776892671806737
2023-10-15,cobija,Cobija,Pando,lowland,1.7053385776606573e-05,3.0,-10.979161794675889
2023-10-22,cobija,Cobija,Pando,lowland,1.4012454966050598e-05,6.0,-11.175563983412331
2023-10-29,cobija,Cobija,Pando,lowland,9.674687600852877e-06,4.0,-11.545997608887271
2023-11-05,cobija,Cobija,Pando,lowland,1.0496245053884356e-05,5.0,-11.464492978675677
2023-11-12,cobija,Cobija,Pando,lowland,1.045037537323095e-05,5.0,-11.468872659315249
2023-11-19,cobija,Cobija,Pando,lowland,8.780397218165389e-06,6.0,-11.642988910091699
2023-11-26,cobija,Cobija,Pando,lowland,6.052666958188198e-06,3.0,-12.015011563518671
2023-12-03,cobija,Cobija,Pando,lowland,,2.0,
2023-12-10,cobija,Cobija,Pando,lowland,,2.0,
2023-12-17,cobija,Cobija,Pando,lowland,1.1014852317076842e-05,3.0,-11.416265985237265
2023-12-24,cobija,Cobija,Pando,lowland,5.1748316530693495e-06,5.0,-12.171703750149835
2023-12-31,cobija,Cobija,Pando,lowland,3.4814552523465296e-06,3.0,-12.568060175627444
2024-01-07,cobija,Cobija,Pando,lowland,8.87871757227995e-06,4.0,-11.631853428925453
2024-01-14,cobija,Cobija,Pando,lowland,6.960355035143972e-06,5.0,-11.875280074122404
2024-01-21,cobija,Cobija,Pando,lowland,,1.0,
2024-01-28,cobija,Cobija,Pando,lowland,6.502532983634462e-06,4.0,-11.943318767182111
2024-02-04,cobija,Cobija,Pando,lowland,1.1920145336137859e-05,3.0,-11.337280703772384
2024-02-11,cobija,Cobija,Pando,lowland,7.595609777390821e-06,5.0,-11.787940138451939
2024-02-18,cobija,Cobija,Pando,lowland,7.377481372589132e-06,3.0,-11.817078255027234
2024-02-25,cobija,Cobija,Pando,lowland,,1.0,
2024-03-03,cobija,Cobija,Pando,lowland,,2.0,
2024-03-10,cobija,Cobija,Pando,lowland,6.347185033135432e-06,5.0,-11.967499145215431
2024-03-17,cobija,Cobija,Pando,lowland,2.9255643522907744e-06,4.0,-12.742023154937055
2024-03-24,cobija,Cobija,Pando,lowland,4.011488770195656e-06,4.0,-12.426348121159421
2024-03-31,cobija,Cobija,Pando,lowland,6.688335704949213e-06,4.0,-11.915145488323603
2024-04-07,cobija,Cobija,Pando,lowland,4.731803569284393e-06,5.0,-12.261204123849984
2024-04-14,cobija,Cobija,Pando,lowland,6.389560985587775e-06,6.0,-11.96084499528591
2024-04-21,cobija,Cobija,Pando,lowland,9.033861577650244e-06,4.0,-11.6145306432258
2024-04-28,cobija,Cobija,Pando,lowland,5.140930213323509e-07,3.0,-14.480861612510541
2024-05-05,cobija,Cobija,Pando,lowland,7.603655739332947e-06,4.0,-11.786881407990938
2024-05-12,cobija,Cobija,Pando,lowland,6.330366241672637e-06,5.0,-11.970152465397758
2024-05-19,cobija,Cobija,Pando,lowland,,1.0,
2024-05-26,cobija,Cobija,Pando,lowland,,2.0,
2024-06-02,cobija,Cobija,Pando,lowland,6.2074813972740055e-06,3.0,-11.989755316383077
2024-06-09,cobija,Cobija,Pando,lowland,7.880142152000685e-06,5.0,-11.751164614663203
2024-06-16,cobija,Cobija,Pando,lowland,8.386152245206575e-06,5.0,-11.68892875469333
2024-06-23,cobija,Cobija,Pando,lowland,7.34285750019053e-07,7.0,-14.124367578888435
2024-06-30,cobija,Cobija,Pando,lowland,4.628903365756715e-06,5.0,-12.283190571968706
2024-07-07,cobija,Cobija,Pando,lowland,7.351822266295379e-06,6.0,-11.820562348081317
2024-07-14,cobija,Cobija,Pando,lowland,9.589737354151596e-06,4.0,-11.554817056915129
2024-07-21,cobija,Cobija,Pando,lowland,1.7111465364587925e-05,7.0,-10.975761829975903
