date,roi,no2_tropos_col_mol_m2,n_valid_days,n_native_pixels,sd,sensor
2023-04-01,la_paz_el_alto,1.9987905513531033e-05,426,30,,TROPOMI
2023-05-01,la_paz_el_alto,2.7226986322069666e-05,401,30,,TROPOMI
2023-06-01,la_paz_el_alto,2.9943303145528168e-05,392,30,,TROPOMI
2023-07-01,la_paz_el_alto,3.646144870969624e-05,414,30,,TROPOMI
2023-08-01,la_paz_el_alto,3.1922948413812895e-05,439,30,,TROPOMI
2023-09-01,la_paz_el_alto,2.7239369484932797e-05,425,30,,TROPOMI
2023-10-01,la_paz_el_alto,1.7569257852090653e-05,440,30,,TROPOMI
2023-11-01,la_paz_el_alto,1.3547709063217628e-05,425,30,,TROPOMI
2023-12-01,la_paz_el_alto,8.403356497918399e-06,438,30,,TROPOMI
2024-01-01,la_paz_el_alto,7.678942501751374e-06,432,30,,TROPOMI
2024-02-01,la_paz_el_alto,6.61374990625109e-06,407,30,,TROPOMI
2024-03-01,la_paz_el_alto,7.332358025228613e-06,433,30,,TROPOMI
2024-04-01,la_paz_el_alto,1.2305295241782848e-05,425,30,,TROPOMI
2024-05-01,la_paz_el_alto,2.2577805369360083e-05,439,30,,TROPOMI
2024-06-01,la_paz_el_alto,3.212163701614411e-05,426,30,,TROPOMI
2024-07-01,la_paz_el_alto,2.9733910607021216e-05,438,30,,TROPOMI
2024-08-01,la_paz_el_alto,2.6136998946636854e-05,436,30,,TROPOMI
2024-09-01,la_paz_el_alto,2.6046323970284184e-05,424,30,,TROPOMI
2024-10-01,la_paz_el_alto,2.0666037428859405e-05,440,30,,TROPOMI
2024-11-01,la_paz_el_alto,1.2951555835861869e-05,426,30,,TROPOMI
2024-12-01,la_paz_el_alto,1.1870279521643692e-05,438,30,,TROPOMI
2025-01-01,la_paz_el_alto,1.3283025661265879e-05,440,30,,TROPOMI
2025-02-01,la_paz_el_alto,9.280650997985978e-06,397,30,,TROPOMI
2025-03-01,la_paz_el_alto,1.0653853885375916e-05,439,28,,TROPOMI
2025-04-01,la_paz_el_alto,1.4841158252923977e-05,426,30,,TROPOMI
2025-05-01,la_paz_el_alto,2.7308563282614034e-05,438,30,,TROPOMI
2025-06-01,la_paz_el_alto,1.73956865356428e-05,426,30,,TROPOMI
2025-07-01,la_paz_el_alto,2.857559670457406e-05,440,30,,TROPOMI
2025-08-01,la_paz_el_alto,2.781519588947886e-05,439,30,,TROPOMI
2025-09-01,la_paz_el_alto,2.7293448711656133e-05,422,30,,TROPOMI
2025-10-01,la_paz_el_alto,1.9916561576573994e-05,338,30,,TROPOMI
2025-11-01,la_paz_el_alto,1.4278435084568702e-05,386,30,,TROPOMI
2025-12-01,la_paz_el_alto,1.4482226261454283e-05,440,30,,TROPOMI
2026-01-01,la_paz_el_alto,1.0675534150817368e-05,440,30,,TROPOMI
2026-02-01,la_paz_el_alto,1.1475616985364691e-05,394,30,,TROPOMI
2026-03-01,la_paz_el_alto,1.0625338326863752e-05,439,30,,TROPOMI
2026-04-01,la_paz_el_alto,1.0636940807008009e-05,227,30,,TROPOMI
2018-07-01,santa_cruz,1.3702670518902026e-05,426,56,,TROPOMI
2018-08-01,santa_cruz,3.244304385131505e-05,421,56,,TROPOMI
2018-09-01,santa_cruz,3.6590493092249344e-05,414,56,,TROPOMI
2018-10-01,santa_cruz,2.066736941965478e-05,427,56,,TROPOMI
2018-11-01,santa_cruz,1.4756973729417412e-05,425,56,,TROPOMI
2018-12-01,santa_cruz,8.488498758683296e-06,426,56,,TROPOMI
2019-01-01,santa_cruz,1.4519667306765109e-05,440,56,,TROPOMI
2019-02-01,santa_cruz,1.0262766765664531e-05,396,56,,TROPOMI
2019-03-01,santa_cruz,1.1294356943485756e-05,440,56,,TROPOMI
2019-04-01,santa_cruz,1.0019583262093278e-05,417,56,,TROPOMI
2019-05-01,santa_cruz,9.304588980598436e-06,440,56,,TROPOMI
2019-06-01,santa_cruz,1.1463676921917054e-05,425,56,,TROPOMI
2019-07-01,santa_cruz,1.576919324819544e-05,437,56,,TROPOMI
2019-08-01,santa_cruz,2.5545218454904594e-05,440,56,,TROPOMI
2019-09-01,santa_cruz,3.3203664100689825e-05,425,56,,TROPOMI
2019-10-01,santa_cruz,2.227632780089513e-05,439,56,,TROPOMI
2019-11-01,santa_cruz,1.7760432104887264e-05,424,56,,TROPOMI
2019-12-01,santa_cruz,1.009727394841333e-05,440,56,,TROPOMI
2020-01-01,santa_cruz,1.3936782847343367e-05,439,56,,TROPOMI
2020-02-01,santa_cruz,1.1942485173965553e-05,407,56,,TROPOMI
2020-03-01,santa_cruz,1.134716264411676e-05,440,56,,TROPOMI
2020-04-01,santa_cruz,8.50259988810858e-06,425,56,,TROPOMI
2020-05-01,santa_cruz,7.7747218197334e-06,438,56,,TROPOMI
2020-06-01,santa_cruz,7.868179009408755e-06,425,56,,TROPOMI
2020-07-01,santa_cruz,1.587366011532482e-05,439,56,,TROPOMI
2020-08-01,santa_cruz,2.2621596361829977e-05,437,56,,TROPOMI
2020-09-01,santa_cruz,3.1166061013001244e-05,425,56,,TROPOMI
2020-10-01,santa_cruz,1.956450348006579e-05,440,56,,TROPOMI
2020-11-01,santa_cruz,1.9687386828643275e-05,425,56,,TROPOMI
2020-12-01,santa_cruz,1.4065547678115785e-05,438,56,,TROPOMI
2021-01-01,santa_cruz,9.903445102491678e-06,437,56,,TROPOMI
2021-02-01,santa_cruz,1.230175649639254e-05,397,56,,TROPOMI
2021-03-01,santa_cruz,1.140006165941394e-05,440,56,,TROPOMI
2021-04-01,santa_cruz,1.056699096373216e-05,424,56,,TROPOMI
2021-05-01,santa_cruz,1.3874852268286099e-05,437,56,,TROPOMI
2021-06-01,santa_cruz,1.2290484190071195e-05,425,56,,TROPOMI
2021-07-01,santa_cruz,1.63424911967721e-05,440,56,,TROPOMI
2021-08-01,santa_cruz,2.9505188382979622e-05,440,56,,TROPOMI
2021-09-01,santa_cruz,2.9921254826265636e-05,426,56,,TROPOMI
2021-10-01,santa_cruz,2.5148534901254428e-05,438,56,,TROPOMI
2021-11-01,santa_cruz,1.9206040697192942e-05,426,56,,TROPOMI
2021-12-01,santa_cruz,1.5760541793083984e-05,438,56,,TROPOMI
2022-01-01,santa_cruz,1.623179512965274e-05,433,56,,TROPOMI
2022-02-01,santa_cruz,1.409406327419663e-05,394,56,,TROPOMI
2022-03-01,santa_cruz,1.2572352406321673e-05,440,56,,TROPOMI
2022-04-01,santa_cruz,9.661651427647567e-06,424,56,,TROPOMI
2022-05-01,santa_cruz,1.4427144634696539e-05,426,56,,TROPOMI
2022-06-01,santa_cruz,1.5339416287970224e-05,426,56,,TROPOMI
2022-07-01,santa_cruz,1.7266105502154854e-05,439,56,,TROPOMI
2022-08-01,santa_cruz,2.8459847440975493e-05,440,56,,TROPOMI
2022-09-01,santa_cruz,4.122036450157947e-05,426,56,,TROPOMI
2022-10-01,santa_cruz,2.4090762040457223e-05,440,56,,TROPOMI
2022-11-01,santa_cruz,1.8634454813462714e-05,425,56,,TROPOMI
2022-12-01,santa_cruz,1.7422086417055705e-05,439,56,,TROPOMI
2023-01-01,santa_cruz,1.2728851101527428e-05,440,56,,TROPOMI
2023-02-01,santa_cruz,9.833017075253513e-06,397,56,,TROPOMI
2023-03-01,santa_cruz,1.0989116441037196e-05,440,56,,TROPOMI
2023-04-01,santa_cruz,9.75773883518855e-06,426,56,,TROPOMI
2023-05-01,santa_cruz,9.35936211272543e-06,401,56,,TROPOMI
2023-06-01,santa_cruz,9.666815750833121e-06,392,56,,TROPOMI
2023-07-01,santa_cruz,1.7039058069903175e-05,414,56,,TROPOMI
2023-08-01,santa_cruz,3.0656258299828615e-05,439,56,,TROPOMI
2023-09-01,santa_cruz,4.00456296364152e-05,425,56,,TROPOMI
2023-10-01,santa_cruz,3.645195693884564e-05,440,56,,TROPOMI
2023-11-01,santa_cruz,2.280297408365015e-05,425,56,,TROPOMI
2023-12-01,santa_cruz,1.5041832989929479e-05,438,56,,TROPOMI
2024-01-01,santa_cruz,1.3195753824119347e-05,432,56,,TROPOMI
2024-02-01,santa_cruz,1.313413070668542e-05,407,56,,TROPOMI
2024-03-01,santa_cruz,1.1196149472196259e-05,433,56,,TROPOMI
2024-04-01,santa_cruz,1.0183722889758515e-05,425,56,,TROPOMI
2024-05-01,santa_cruz,9.501211610315004e-06,439,56,,TROPOMI
2024-06-01,santa_cruz,9.017001622101054e-06,426,56,,TROPOMI
2024-07-01,santa_cruz,2.250761396443121e-05,438,56,,TROPOMI
2024-08-01,santa_cruz,3.1058862573430664e-05,436,56,,TROPOMI
2024-09-01,santa_cruz,4.8410564653279136e-05,424,56,,TROPOMI
2024-10-01,santa_cruz,2.95379521035684e-05,440,56,,TROPOMI
2024-11-01,santa_cruz,1.7944417577899748e-05,426,56,,TROPOMI
2024-12-01,santa_cruz,1.2938664234794001e-05,438,56,,TROPOMI
2025-01-01,santa_cruz,1.4050255473669164e-05,440,56,,TROPOMI
2025-02-01,santa_cruz,1.3898906661337819e-05,397,56,,TROPOMI
2025-03-01,santa_cruz,8.724020260312696e-06,439,56,,TROPOMI
2025-04-01,santa_cruz,9.61776125697884e-06,426,56,,TROPOMI
2025-05-01,santa_cruz,1.0774704798804219e-05,438,56,,TROPOMI
2025-06-01,santa_cruz,8.779378178959934e-06,426,56,,TROPOMI
2025-07-01,santa_cruz,1.815336987440828e-05,440,56,,TROPOMI
2025-08-01,santa_cruz,2.7267963828413827e-05,439,56,,TROPOMI
2025-09-01,santa_cruz,3.647052895278255e-05,422,56,,TROPOMI
2025-10-01,santa_cruz,2.2578486822201654e-05,338,56,,TROPOMI
2025-11-01,santa_cruz,1.359535134673553e-05,386,56,,TROPOMI
2025-12-01,santa_cruz,1.1797164017323343e-05,440,56,,TROPOMI
2026-01-01,santa_cruz,1.29407566144592e-05,440,56,,TROPOMI
2026-02-01,santa_cruz,1.4464306236617601e-05,394,56,,TROPOMI
2026-03-01,santa_cruz,1.2693858132376012e-05,439,56,,TROPOMI
2026-04-01,santa_cruz,7.422660779139769e-06,227,56,,TROPOMI
2018-07-01,cochabamba,5.1699243018528845e-05,426,20,,TROPOMI
2018-08-01,cochabamba,5.209026600085948e-05,421,20,,TROPOMI
2018-09-01,cochabamba,4.717108557925864e-05,414,20,,TROPOMI
2018-10-01,cochabamba,3.0316346031934313e-05,427,20,,TROPOMI
2018-11-01,cochabamba,2.5022825262688382e-05,425,20,,TROPOMI
2018-12-01,cochabamba,2.4697098696587416e-05,426,20,,TROPOMI
2019-01-01,cochabamba,2.3048676661323616e-05,440,20,,TROPOMI
2019-02-01,cochabamba,2.7446414124652892e-05,396,20,,TROPOMI
2019-03-01,cochabamba,2.5248852422369984e-05,440,20,,TROPOMI
2019-04-01,cochabamba,2.9481994687303743e-05,417,20,,TROPOMI
2019-05-01,cochabamba,4.7831489347103986e-05,440,20,,TROPOMI
2019-06-01,cochabamba,5.452997700392357e-05,425,20,,TROPOMI
2019-07-01,cochabamba,5.48627354404404e-05,437,20,,TROPOMI
2019-08-01,cochabamba,6.275307450811959e-05,440,20,,TROPOMI
2019-09-01,cochabamba,5.0374422550914685e-05,425,20,,TROPOMI
2019-10-01,cochabamba,2.5538363058295858e-05,439,20,,TROPOMI
2019-11-01,cochabamba,1.7417880590992817e-05,424,20,,TROPOMI
2019-12-01,cochabamba,2.5264655567433662e-05,440,20,,TROPOMI
2020-01-01,cochabamba,2.4275065999574438e-05,439,20,,TROPOMI
2020-02-01,cochabamba,2.6673426660710526e-05,407,20,,TROPOMI
2020-03-01,cochabamba,2.279069059750775e-05,440,20,,TROPOMI
2020-04-01,cochabamba,1.1125307024242807e-05,425,20,,TROPOMI
2020-05-01,cochabamba,1.5114832465517033e-05,438,20,,TROPOMI
2020-06-01,cochabamba,2.8346448848479773e-05,425,20,,TROPOMI
2020-07-01,cochabamba,2.968431751092476e-05,439,20,,TROPOMI
2020-08-01,cochabamba,3.807502126017624e-05,437,20,,TROPOMI
2020-09-01,cochabamba,4.752894618399159e-05,425,20,,TROPOMI
2020-10-01,cochabamba,2.4703635674285874e-05,440,20,,TROPOMI
2020-11-01,cochabamba,2.5298260364422534e-05,425,20,,TROPOMI
2020-12-01,cochabamba,2.0690659123109794e-05,438,20,,TROPOMI
2021-01-01,cochabamba,2.0995074169733274e-05,437,20,,TROPOMI
2021-02-01,cochabamba,2.2879233848080947e-05,397,20,,TROPOMI
2021-03-01,cochabamba,2.170455031065176e-05,440,20,,TROPOMI
2021-04-01,cochabamba,2.652999250927018e-05,424,20,,TROPOMI
2021-05-01,cochabamba,3.1910876428494785e-05,437,20,,TROPOMI
2021-06-01,cochabamba,3.421292236490519e-05,425,20,,TROPOMI
2021-07-01,cochabamba,5.1863992693176875e-05,440,20,,TROPOMI
2021-08-01,cochabamba,4.744310780216983e-05,440,20,,TROPOMI
2021-09-01,cochabamba,4.222839582284231e-05,426,20,,TROPOMI
2021-10-01,cochabamba,2.6747525502836524e-05,438,20,,TROPOMI
2021-11-01,cochabamba,2.2090733234143995e-05,426,20,,TROPOMI
2021-12-01,cochabamba,2.276757630850589e-05,438,20,,TROPOMI
2022-01-01,cochabamba,1.8562047622893177e-05,433,20,,TROPOMI
2022-02-01,cochabamba,2.3963238641829087e-05,394,20,,TROPOMI
2022-03-01,cochabamba,2.4471757518922762e-05,440,20,,TROPOMI
2022-04-01,cochabamba,3.16703854128277e-05,424,20,,TROPOMI
2022-05-01,cochabamba,3.781018106233337e-05,426,20,,TROPOMI
2022-06-01,cochabamba,4.2172409524469575e-05,426,20,,TROPOMI
2022-07-01,cochabamba,4.902359394181677e-05,439,20,,TROPOMI
2022-08-01,cochabamba,5.3762685536350605e-05,440,20,,TROPOMI
2022-09-01,cochabamba,3.828673841415604e-05,426,20,,TROPOMI
2022-10-01,cochabamba,3.1760671541870066e-05,440,20,,TROPOMI
2022-11-01,cochabamba,2.631127270965949e-05,425,20,,TROPOMI
2022-12-01,cochabamba,2.174114891523801e-05,439,20,,TROPOMI
2023-01-01,cochabamba,2.6999225816930686e-05,440,20,,TROPOMI
2023-02-01,cochabamba,1.9863908028059898e-05,397,20,,TROPOMI
2023-03-01,cochabamba,2.0197598842439246e-05,440,20,,TROPOMI
2023-04-01,cochabamba,3.0245328278072043e-05,426,20,,TROPOMI
2023-05-01,cochabamba,4.489129804189606e-05,401,20,,TROPOMI
2023-06-01,cochabamba,5.231414057783971e-05,392,20,,TROPOMI
2023-07-01,cochabamba,6.021679281832945e-05,414,20,,TROPOMI
2023-08-01,cochabamba,6.149972209689129e-05,439,20,,TROPOMI
2023-09-01,cochabamba,4.2903851539601296e-05,425,20,,TROPOMI
2023-10-01,cochabamba,3.113741714971245e-05,440,20,,TROPOMI
2023-11-01,cochabamba,1.9189840554911392e-05,425,20,,TROPOMI
2023-12-01,cochabamba,1.727741288430299e-05,438,20,,TROPOMI
2024-01-01,cochabamba,2.1571695465085607e-05,432,20,,TROPOMI
2024-02-01,cochabamba,1.5461714597920784e-05,407,20,,TROPOMI
2024-03-01,cochabamba,2.0538029850449534e-05,433,20,,TROPOMI
2024-04-01,cochabamba,3.2748707489913624e-05,425,20,,TROPOMI
2024-05-01,cochabamba,4.211122804928175e-05,439,20,,TROPOMI
2024-06-01,cochabamba,5.3976406913529665e-05,426,20,,TROPOMI
2024-07-01,cochabamba,5.1151953137128894e-05,438,20,,TROPOMI
2024-08-01,cochabamba,5.4938120383767064e-05,436,20,,TROPOMI
2024-09-01,cochabamba,4.435046391777956e-05,424,20,,TROPOMI
2024-10-01,cochabamba,3.491246813337524e-05,440,20,,TROPOMI
2024-11-01,cochabamba,2.533827559012776e-05,426,20,,TROPOMI
2024-12-01,cochabamba,2.4782115532561915e-05,438,20,,TROPOMI
2025-01-01,cochabamba,2.469011564084862e-05,440,20,,TROPOMI
2025-02-01,cochabamba,1.924715235585203e-05,397,20,,TROPOMI
2025-03-01,cochabamba,1.8734210545235032e-05,439,20,,TROPOMI
2025-04-01,cochabamba,2.6048074703991073e-05,426,20,,TROPOMI
2025-05-01,cochabamba,4.2594752284829495e-05,438,20,,TROPOMI
2025-06-01,cochabamba,3.684665661556525e-05,426,20,,TROPOMI
2025-07-01,cochabamba,5.2377077347154936e-05,440,20,,TROPOMI
2025-08-01,cochabamba,4.896935115340303e-05,439,20,,TROPOMI
2025-09-01,cochabamba,3.859396154707986e-05,422,20,,TROPOMI
2025-10-01,cochabamba,3.3153240655924305e-05,338,20,,TROPOMI
2025-11-01,cochabamba,2.2256094096591164e-05,386,20,,TROPOMI
2025-12-01,cochabamba,2.5155697790891053e-05,440,20,,TROPOMI
2026-01-01,cochabamba,2.0045644389177504e-05,440,20,,TROPOMI
2026-02-01,cochabamba,2.384211951109081e-05,394,20,,TROPOMI
2026-03-01,cochabamba,3.075605199077136e-05,439,20,,TROPOMI
2026-04-01,cochabamba,2.5796992619988878e-05,227,20,,TROPOMI
2018-07-01,sucre,1.3976917483720152e-05,426,4,,TROPOMI
2018-08-01,sucre,1.9189686598570173e-05,421,4,,TROPOMI
2018-09-01,sucre,1.8365382341313308e-05,414,4,,TROPOMI
2018-10-01,sucre,1.6911488373717163e-05,427,4,,TROPOMI
2018-11-01,sucre,1.1332776123608333e-05,425,4,,TROPOMI
2018-12-01,sucre,8.473255808759341e-06,426,4,,TROPOMI
2019-01-01,sucre,1.030649608203982e-05,440,4,,TROPOMI
2019-02-01,sucre,9.471835679379422e-06,396,4,,TROPOMI
2019-03-01,sucre,6.091404268660343e-06,440,4,,TROPOMI
2019-04-01,sucre,7.427045547876199e-06,417,4,,TROPOMI
2019-05-01,sucre,1.2330866269449535e-05,440,4,,TROPOMI
2019-06-01,sucre,1.8836644379875363e-05,425,4,,TROPOMI
2019-07-01,sucre,1.6965342776847746e-05,437,4,,TROPOMI
2019-08-01,sucre,2.0749067811245894e-05,440,4,,TROPOMI
2019-09-01,sucre,2.1038653957545997e-05,425,4,,TROPOMI
2019-10-01,sucre,9.516279979902091e-06,439,4,,TROPOMI
2019-11-01,sucre,8.807789710782653e-06,424,4,,TROPOMI
2019-12-01,sucre,1.0111186082736946e-05,440,4,,TROPOMI
2020-01-01,sucre,1.4297292614429952e-05,439,4,,TROPOMI
2020-02-01,sucre,1.0225349478555678e-05,407,4,,TROPOMI
2020-03-01,sucre,7.356587732371205e-06,440,4,,TROPOMI
2020-04-01,sucre,6.731392873356837e-06,425,4,,TROPOMI
2020-05-01,sucre,6.393540265160004e-06,438,4,,TROPOMI
2020-06-01,sucre,8.181206281099729e-06,425,4,,TROPOMI
2020-07-01,sucre,1.0065133098961366e-05,439,4,,TROPOMI
2020-08-01,sucre,1.5791964101401203e-05,437,4,,TROPOMI
2020-09-01,sucre,2.009361507404836e-05,425,4,,TROPOMI
2020-10-01,sucre,1.5117450275967031e-05,440,4,,TROPOMI
2020-11-01,sucre,1.0052482706921224e-05,425,4,,TROPOMI
2020-12-01,sucre,1.1525571999460722e-05,438,4,,TROPOMI
2021-01-01,sucre,9.54716468393264e-06,437,4,,TROPOMI
2021-02-01,sucre,1.1499025907704973e-05,397,4,,TROPOMI
2021-03-01,sucre,1.0225522632594804e-05,440,4,,TROPOMI
2021-04-01,sucre,6.657430861386949e-06,424,4,,TROPOMI
2021-05-01,sucre,9.481555585061799e-06,437,4,,TROPOMI
2021-06-01,sucre,9.671110013025742e-06,425,4,,TROPOMI
2021-07-01,sucre,1.2269662422051328e-05,440,4,,TROPOMI
2021-08-01,sucre,1.4950625033559603e-05,440,4,,TROPOMI
2021-09-01,sucre,1.842192107347328e-05,426,4,,TROPOMI
2021-10-01,sucre,7.508981015857574e-06,438,4,,TROPOMI
2021-11-01,sucre,7.187770897244006e-06,426,4,,TROPOMI
2021-12-01,sucre,1.0442153553888869e-05,438,4,,TROPOMI
2022-01-01,sucre,1.1465727200602183e-05,433,4,,TROPOMI
2022-02-01,sucre,8.61402164563632e-06,394,4,,TROPOMI
2022-03-01,sucre,9.694532293624567e-06,440,4,,TROPOMI
2022-04-01,sucre,7.0684464465215335e-06,424,4,,TROPOMI
2022-05-01,sucre,9.386238253933616e-06,426,4,,TROPOMI
2022-06-01,sucre,1.1683312287962139e-05,426,4,,TROPOMI
2022-07-01,sucre,1.1420814369129971e-05,439,4,,TROPOMI
2022-08-01,sucre,1.6863738349144097e-05,440,4,,TROPOMI
2022-09-01,sucre,1.610168866208663e-05,426,4,,TROPOMI
2022-10-01,sucre,1.2599202815074274e-05,440,4,,TROPOMI
2022-11-01,sucre,1.0582518563464812e-05,425,4,,TROPOMI
2022-12-01,sucre,5.669033139775965e-06,439,4,,TROPOMI
2023-01-01,sucre,7.229799474669218e-06,440,4,,TROPOMI
2023-02-01,sucre,6.941833285555563e-06,397,4,,TROPOMI
2023-03-01,sucre,7.0197934205150074e-06,440,4,,TROPOMI
2023-04-01,sucre,7.961616761648801e-06,426,4,,TROPOMI
2023-05-01,sucre,1.235981489090751e-05,401,4,,TROPOMI
2023-06-01,sucre,1.3455659596354199e-05,392,4,,TROPOMI
2023-07-01,sucre,1.4934059396702773e-05,414,4,,TROPOMI
2023-08-01,sucre,2.1075174143085146e-05,439,4,,TROPOMI
2023-09-01,sucre,1.7063306896450377e-05,425,4,,TROPOMI
2023-10-01,sucre,1.037182429366318e-05,440,4,,TROPOMI
2023-11-01,sucre,8.950059890888863e-06,425,4,,TROPOMI
2023-12-01,sucre,7.047115298515806e-06,438,4,,TROPOMI
2024-01-01,sucre,6.30419265670607e-06,432,4,,TROPOMI
2024-02-01,sucre,8.548031281746297e-06,407,4,,TROPOMI
2024-03-01,sucre,7.021076127497267e-06,433,4,,TROPOMI
2024-04-01,sucre,8.197868845617403e-06,425,4,,TROPOMI
2024-05-01,sucre,1.317617216269908e-05,439,4,,TROPOMI
2024-06-01,sucre,1.4463071402443522e-05,426,4,,TROPOMI
2024-07-01,sucre,1.601339411470546e-05,438,4,,TROPOMI
2024-08-01,sucre,1.5629082585520076e-05,436,4,,TROPOMI
2024-09-01,sucre,1.6756260874940553e-05,424,4,,TROPOMI
2024-10-01,sucre,1.4860831397190008e-05,440,4,,TROPOMI
2024-11-01,sucre,9.762326179799922e-06,426,4,,TROPOMI
2024-12-01,sucre,5.808581877217955e-06,438,4,,TROPOMI
2025-01-01,sucre,9.000134331002075e-06,440,4,,TROPOMI
2025-02-01,sucre,9.681232621932184e-06,397,4,,TROPOMI
2025-03-01,sucre,6.747956401056351e-06,439,4,,TROPOMI
2025-04-01,sucre,7.681438426608486e-06,426,4,,TROPOMI
2025-05-01,sucre,1.1494533365538913e-05,438,4,,TROPOMI
2025-06-01,sucre,7.791046810341272e-06,426,4,,TROPOMI
2025-07-01,sucre,1.508322161901025e-05,440,4,,TROPOMI
2025-08-01,sucre,1.4824357362686266e-05,439,4,,TROPOMI
2025-09-01,sucre,1.4396142297914367e-05,422,4,,TROPOMI
2025-10-01,sucre,1.4566734203921914e-05,338,4,,TROPOMI
2025-11-01,sucre,7.969647001023669e-06,386,4,,TROPOMI
2025-12-01,sucre,1.0852074455312708e-05,440,4,,TROPOMI
