date,roi,log_dev_2019,centered_yoy,trailing_yoy,no2_monthly
2022-12-01,cochabamba,-6.203365760680235,5.009467442249083,7.25210024353018,2.174114891523801e-05
2023-01-01,cochabamba,-4.407528224167301,5.062281771656707,11.400916472239686,2.699922581693069e-05
2023-02-01,cochabamba,-2.6937817854433277,7.245387174958751,9.451685078879457,1.9863908028059898e-05
2023-03-01,cochabamba,-1.573340061175621,7.323759012285969,6.8520705945248395,2.019759884243925e-05
2023-04-01,cochabamba,-0.6245232223367481,9.089153358050694,4.992516936258973,3.0245328278072043e-05
2023-05-01,cochabamba,-0.7896778942042104,7.492441886812529,5.009467442249083,4.489129804189606e-05
2023-06-01,cochabamba,-3.4198151130841126,3.405310854805066,5.062281771656707,5.231414057783971e-05
2023-07-01,cochabamba,-5.334870891918442,1.8746776077405158,7.245387174958751,6.021679281832945e-05
2023-08-01,cochabamba,-7.205088657831205,-3.117949711206691,7.323759012285969,6.149972209689129e-05
2023-09-01,cochabamba,-9.29290095512787,-3.642291052754132,9.089153358050694,4.2903851539601296e-05
2023-10-01,cochabamba,-9.15361300475368,-1.9033700179369006,7.492441886812529,3.113741714971245e-05
2023-11-01,cochabamba,-8.490931672387525,-0.8570195633605948,3.405310854805066,1.9189840554911392e-05
2023-12-01,cochabamba,-9.023678037360305,-2.8203122766800703,1.8746776077405158,1.727741288430299e-05
2024-01-01,cochabamba,-8.763008593865074,-4.355480369697773,-3.117949711206691,2.1571695465085607e-05
2024-02-01,cochabamba,-10.122596824850127,-7.4288150394068,-3.642291052754132,1.5461714597920784e-05
2024-03-01,cochabamba,-11.062806725963448,-9.489466664787827,-1.9033700179369006,2.053802985044953e-05
2024-04-01,cochabamba,-10.786460328485958,-10.16193710614921,-0.8570195633605948,3.2748707489913624e-05
2024-05-01,cochabamba,-9.8328453391753,-9.04316744497109,-2.8203122766800703,4.211122804928175e-05
2024-06-01,cochabamba,-7.51671933543463,-4.096904222350517,-4.355480369697773,5.397640691352967e-05
2024-07-01,cochabamba,-4.510700916146426,0.8241699757720156,-7.4288150394068,5.1151953137128894e-05
2024-08-01,cochabamba,-3.3855265259681744,3.81956213186303,-9.489466664787827,5.493812038376706e-05
2024-09-01,cochabamba,-1.5605583777428933,7.732342577384976,-10.16193710614921,4.435046391777956e-05
2024-10-01,cochabamba,-2.326616617801669,6.826996386952011,-9.04316744497109,3.491246813337524e-05
2024-11-01,cochabamba,-4.234280264416945,4.25665140797058,-4.096904222350517,2.533827559012776e-05
2024-12-01,cochabamba,-4.139141470692209,4.884536566668096,0.8241699757720156,2.4782115532561915e-05
2025-01-01,cochabamba,-7.320659446757816,1.442349147107258,3.81956213186303,2.469011564084862e-05
2025-02-01,cochabamba,-7.1234230780840235,2.999173746766104,7.732342577384976,1.924715235585203e-05
2025-03-01,cochabamba,-8.081863512849985,2.9809432131134628,6.826996386952011,1.8734210545235032e-05
2025-04-01,cochabamba,-9.240424691600602,1.5460356368853567,4.25665140797058,2.6048074703991076e-05
2025-05-01,cochabamba,-9.671287602574985,0.16155773660031514,4.884536566668096,4.2594752284829495e-05
2025-06-01,cochabamba,-10.752123090762566,-3.235403755327937,1.442349147107258,3.684665661556525e-05
2025-07-01,cochabamba,-10.627438273511025,-6.116737357364599,2.999173746766104,5.2377077347154936e-05
2025-08-01,cochabamba,-12.364030726448227,-8.978504200480053,2.9809432131134628,4.896935115340303e-05
2025-09-01,cochabamba,-10.57994219572489,-9.019383817981996,1.5460356368853567,3.859396154707986e-05
2025-10-01,cochabamba,-6.448813077373572,-4.122196459571903,0.16155773660031514,3.3153240655924305e-05
2025-11-01,cochabamba,-6.529529225166719,-2.295248960749774,-3.235403755327937,2.2256094096591164e-05
2025-12-01,cochabamba,-12.469011312579603,-8.329869841887394,-6.116737357364599,2.5155697790891053e-05
2026-01-01,cochabamba,-12.230929417023795,-4.910269970265979,-8.978504200480053,2.0045644389177504e-05
